Id_d,Creador_empresa_si_exite,Origen_FRIJOL_BARRA,REF,Revisar,Porcentaje_Cocoa,Empresa_localidad,Popularidad,Frijo_tipo,Haba_origen,Popularidad_Class
47,Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,,Bolivia,Decepcionante
48,Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,,Peru,Decepcionante
49,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,,Ecuador,Decepcionante
50,Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,,Venezuela,Decepcionante
51,Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3,Trinitario,Dominican Republic,Sastisfactorio
52,Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,,Bolivia,Sastisfactorio
53,Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3,,Bolivia,Sastisfactorio
54,Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,,Peru,Sastisfactorio
55,Amano,Morobe,725,2011,0.7,U.S.A.,4,,Papua New Guinea,Premiun
56,Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,,Dominican Republic,Sastisfactorio
57,Amano,Guayas,470,2010,0.7,U.S.A.,4,,Ecuador,Premiun
58,Amano,Chuao,544,2010,0.7,U.S.A.,3,Trinitario,Venezuela,Sastisfactorio
59,Amano,Montanya,363,2009,0.7,U.S.A.,3,,Venezuela,Sastisfactorio
60,Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,,Indonesia,Decepcionante
61,Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Trinitario,Madagascar,Sastisfactorio
62,Amano,Cuyagua,147,2007,0.7,U.S.A.,3,,Venezuela,Sastisfactorio
63,Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Criollo,Venezuela,Sastisfactorio
64,Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3,Forastero,Ghana,Sastisfactorio
65,Amatller (Simon Coll),Ecuador,327,2009,0.7,Spain,2.75,,Ecuador,Decepcionante
66,Amatller (Simon Coll),Ecuador,464,2009,0.85,Spain,2.75,,Ecuador,Decepcionante
67,Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3,Forastero,Ghana,Sastisfactorio
68,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,,Peru,Sastisfactorio
69,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Trinitario,Peru,Sastisfactorio
70,Ambrosia,Belize,1494,2015,0.64,Canada,3,Trinitario,Belize,Sastisfactorio
71,Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Trinitario,Madagascar,Sastisfactorio
72,Ambrosia,Dominican Republic,1498,2015,0.75,Canada,3.25,,Dominican Republic,Sastisfactorio
73,Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,,Papua New Guinea,Sastisfactorio
74,Ambrosia,Venezuela,1498,2015,0.7,Canada,3.25,,Venezuela,Sastisfactorio
75,Ambrosia,Peru,1498,2015,0.68,Canada,3.5,,Peru,Sastisfactorio
76,Amedei,"Piura, Blanco de Criollo",979,2012,0.7,Italy,3.75,,Peru,Sastisfactorio
77,Amedei,Porcelana,111,2007,0.7,Italy,4,Criollo_Porcelana,Venezuela,Premiun
78,Amedei,Nine,111,2007,0.75,Italy,4,Blend,,Premiun
79,Amedei,Chuao,111,2007,0.7,Italy,5,Trinitario,Venezuela,Elite
80,Amedei,Ecuador,123,2007,0.7,Italy,3,Trinitario,Ecuador,Sastisfactorio
81,Amedei,Jamaica,123,2007,0.7,Italy,3,Trinitario,Jamaica,Sastisfactorio
82,Amedei,Grenada,123,2007,0.7,Italy,3.5,Trinitario,Grenada,Sastisfactorio
83,Amedei,Venezuela,123,2007,0.7,Italy,3.75,Trinitario_85%_Criollo,Venezuela,Sastisfactorio
84,Amedei,Madagascar,123,2007,0.7,Italy,4,Trinitario_85%_Criollo,Madagascar,Premiun
85,Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinitario,Trinidad,Sastisfactorio
86,Amedei,Toscano Black,170,2007,0.63,Italy,3.5,Blend,,Sastisfactorio
87,Amedei,Toscano Black,40,2006,0.7,Italy,5,Blend,,Elite
88,Amedei,Toscano Black,75,2006,0.66,Italy,4,Blend,,Premiun
89,AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Forastero_Catongo,Brazil,Sastisfactorio
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Forastero_Parazinho,Brazil,Decepcionante
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Forastero_Parazinho,Brazil,Sastisfactorio
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Forastero_Parazinho,Brazil,Sastisfactorio
93,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4,Forastero_Parazinho,Brazil,Premiun
94,Anahata,Elvesia,1259,2014,0.75,U.S.A.,3,,Dominican Republic,Sastisfactorio
95,Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,,Bolivia,Sastisfactorio
96,Ara,Madagascar,1375,2014,0.75,France,3,Trinitario,Madagascar,Sastisfactorio
97,Ara,Chiapas,1379,2014,0.72,France,2.5,,Mexico,Decepcionante
98,Ara,Equateur,1379,2014,0.75,France,2.75,,Ecuador,Decepcionante
99,Ara,Trincheras,1379,2014,0.75,France,3,,Venezuela,Sastisfactorio
100,Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinitario,Trinidad,Sastisfactorio
101,Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,,Tanzania,Sastisfactorio
102,Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Trinitario,Vietnam,Sastisfactorio
103,Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,,Ecuador,Sastisfactorio
104,Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,,Ecuador,Sastisfactorio
105,Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,,Guatemala,Sastisfactorio
106,Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,,Nicaragua,Sastisfactorio
107,Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,,Honduras,Sastisfactorio
108,Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4,,Costa Rica,Premiun
109,Arete,Phantom,1924,2016,0.7,U.S.A.,4,Forastero_Nacional,Peru,Premiun
110,Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,,Dominican Republic,Sastisfactorio
111,Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,,Fiji,Sastisfactorio
112,Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,,Vietnam,Sastisfactorio
113,Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,,Brazil,Sastisfactorio
114,Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Forastero_Nacional,Peru,Sastisfactorio
115,Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Forastero_Nacional,Ecuador,Sastisfactorio
116,Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,,Domincan Republic,Sastisfactorio
117,Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Trinitario,Belize,Sastisfactorio
118,Arete,Chuno,1598,2015,0.7,U.S.A.,4,Criollo_Trinitario,Nicaragua,Premiun
119,Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,,Brazil,Decepcionante
120,Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,,Guatemala,Sastisfactorio
121,Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,,Ecuador,Sastisfactorio
122,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinitario,Trinidad,Sastisfactorio
123,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,,Colombia,Sastisfactorio
124,Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4,,Haiti,Premiun
125,Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,,Panama,Decepcionante
126,Artisan du Chocolat,Venezuela,486,2010,1,U.K.,1.75,,Venezuela,Desagradable
127,Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Trinitario,Jamaica,Sastisfactorio
128,Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,,Costa Rica,Sastisfactorio
129,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Trinitario,Vietnam,Sastisfactorio
130,Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,,Indonesia,Sastisfactorio
131,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,Criollo_Trinitario,Venezuela,Decepcionante
132,Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Trinitario,Indonesia,Decepcionante
133,Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,U.K.,1.75,,Brazil,Desagradable
134,Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3,Criollo_Trinitario,Madagascar,Sastisfactorio
135,Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3,Criollo,Peru,Sastisfactorio
136,Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Trinitario,Dominican Republic,Sastisfactorio
137,Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Forastero,Congo,Sastisfactorio
138,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Trinitario,Colombia,Decepcionante
139,Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Trinitario,Tanzania,Sastisfactorio
140,Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Trinitario,Tanzania,Sastisfactorio
141,Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Trinitario,Honduras,Sastisfactorio
142,Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Trinitario,Philippines,Sastisfactorio
143,Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Trinitario,Mexico,Decepcionante
144,Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3,Forastero_Arriba,Ecuador,Sastisfactorio
145,Bahen & Co.,Houseblend,1474,2015,0.8,Australia,3.25,,,Sastisfactorio
146,Bahen & Co.,Papua New Guinea,1474,2015,0.7,Australia,3.5,,Papua New Guinea,Sastisfactorio
147,Bahen & Co.,Sambirano,995,2012,0.7,Australia,3,Trinitario,Madagascar,Sastisfactorio
148,Bahen & Co.,Bahia,999,2012,0.7,Australia,2.5,,Brazil,Decepcionante
149,Bahen & Co.,Houseblend,999,2012,0.7,Australia,2.5,Blend,,Decepcionante
150,Bakau,"Bambamarca, 2015",1454,2015,0.7,Peru,2.75,,Peru,Decepcionante
151,Bakau,"Huallabamba, 2015",1454,2015,0.7,Peru,3.5,,Peru,Sastisfactorio
152,Bar Au Chocolat,Bahia,1554,2015,0.7,U.S.A.,3.5,,Brazil,Sastisfactorio
153,Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4,Forastero_Nacional,Peru,Premiun
154,Bar Au Chocolat,Duarte Province,983,2012,0.7,U.S.A.,3.25,,Dominican Republic,Sastisfactorio
155,Bar Au Chocolat,Chiapas,983,2012,0.7,U.S.A.,3.5,,Mexico,Sastisfactorio
156,Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Trinitario,Madagascar,Sastisfactorio
157,Baravelli's,single estate,955,2012,0.8,Wales,2.75,,Costa Rica,Decepcionante
158,Batch,"Dominican Republic, Batch 3",1840,2016,0.65,U.S.A.,3.5,,Domincan Republic,Sastisfactorio
159,Batch,Brazil,1868,2016,0.7,U.S.A.,3.75,,Brazil,Sastisfactorio
160,Batch,Ecuador,1880,2016,0.65,U.S.A.,3.25,,Ecuador,Sastisfactorio
161,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3,,Malaysia,Sastisfactorio
162,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,,Malaysia,Sastisfactorio
163,Beehive,"Brazil, Batch 20316",1784,2016,0.8,U.S.A.,2.75,,Brazil,Decepcionante
164,Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,U.S.A.,2.75,,Domincan Republic,Decepcionante
165,Beehive,"Ecuador, Batch 31516",1784,2016,0.7,U.S.A.,2.75,,Ecuador,Decepcionante
166,Beehive,Ecuador,1788,2016,0.9,U.S.A.,2.75,,Ecuador,Decepcionante
167,Belcolade,Costa Rica,586,2010,0.64,Belgium,2.75,,Costa Rica,Decepcionante
168,Belcolade,Papua New Guinea,586,2010,0.64,Belgium,2.75,,Papua New Guinea,Decepcionante
169,Belcolade,Peru,586,2010,0.64,Belgium,2.75,,Peru,Decepcionante
170,Belcolade,Ecuador,586,2010,0.71,Belgium,3.5,,Ecuador,Sastisfactorio
171,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,Criollo_Trinitario,Tanzania,Sastisfactorio
172,Bellflower,"Alto Beni, Palos Blanco",1804,2016,0.7,U.S.A.,3.25,,Bolivia,Sastisfactorio
173,Bellflower,"Oko Caribe, Duarte P.",1864,2016,0.7,U.S.A.,3.5,,Domincan Republic,Sastisfactorio
174,Belyzium,"Belize south, low fermentation",1768,2016,0.83,Germany,2.75,Trinitario,Belize,Decepcionante
175,Belyzium,Belize south,1768,2016,0.78,Germany,3,Trinitario,Belize,Sastisfactorio
176,Belyzium,Belize south,1768,2016,0.83,Germany,3.5,Trinitario,Belize,Sastisfactorio
177,Benoit Nihant,Baracoa,1141,2013,0.74,Belgium,3.5,Trinitario,Cuba,Sastisfactorio
178,Benoit Nihant,Chuao,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela,Sastisfactorio
179,Benoit Nihant,Cuyagua Village,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela,Sastisfactorio
180,Benoit Nihant,Rio Peripa H.,1141,2013,0.73,Belgium,4,Trinitario,Ecuador,Premiun
181,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4,Trinitario,Indonesia,Premiun
182,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,0.72,Belgium,3.75,Trinitario,Madagascar,Sastisfactorio
183,Bernachon,Nature,797,2012,0.55,France,2.75,,,Decepcionante
184,Beschle (Felchlin),Madagascar,636,2011,0.64,Switzerland,3,Trinitario,Madagascar,Sastisfactorio
185,Beschle (Felchlin),Maracaibo,636,2011,0.88,Switzerland,3,Criollo,Venezuela,Sastisfactorio
186,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,0.72,Switzerland,3.5,,Venezuela,Sastisfactorio
187,Beschle (Felchlin),Ecuador,636,2011,0.72,Switzerland,4,,Ecuador,Premiun
188,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.7,Switzerland,3.25,Trinitario,Venezuela,Sastisfactorio
189,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,Switzerland,3.25,Criollo_Porcelana,Venezuela,Sastisfactorio
190,Beschle (Felchlin),"Java, Grand Cru",508,2010,0.64,Switzerland,3.5,,Indonesia,Sastisfactorio
191,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,0.72,Switzerland,3.5,,Venezuela,Sastisfactorio
192,Bisou,"Nicaragua, American style",1482,2015,0.76,U.S.A.,2.5,,Nicaragua,Decepcionante
193,Bisou,"San Andres, American style",1486,2015,0.76,U.S.A.,2.5,,Costa Rica,Decepcionante
194,Bisou,"San Andres, silk",1486,2015,0.78,U.S.A.,2.5,,Costa Rica,Decepcionante
195,Bisou,Belize,1486,2015,0.86,U.S.A.,3.25,Trinitario,Belize,Sastisfactorio
196,Bittersweet Origins,Ghana,963,2012,0.72,U.S.A.,3.5,Forastero,Ghana,Sastisfactorio
197,Bittersweet Origins,"Bali, Singaraja",478,2010,0.75,U.S.A.,3.25,,Indonesia,Sastisfactorio
198,Bittersweet Origins,2009 Hapa Nibby,502,2010,0.7,U.S.A.,3.75,Blend,"Dominican Rep., Bali",Sastisfactorio
199,Bittersweet Origins,"Bali, Singaraja",558,2010,0.65,U.S.A.,2.75,,Indonesia,Decepcionante
200,Bittersweet Origins,"Sambirano, 2009",565,2010,0.7,U.S.A.,3,Trinitario,Madagascar,Sastisfactorio
201,Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,U.S.A.,3,Criollo,Venezuela,Sastisfactorio
202,Bittersweet Origins,Puerto Plata,414,2009,0.75,U.S.A.,3,,Dominican Republic,Sastisfactorio
203,Bittersweet Origins,Puerto Plata,414,2009,0.65,U.S.A.,3.5,,Dominican Republic,Sastisfactorio
204,Bittersweet Origins,Sambirano,423,2009,0.75,U.S.A.,3.25,Trinitario,Madagascar,Sastisfactorio
205,Bittersweet Origins,Sambirano,431,2009,0.65,U.S.A.,3.5,Trinitario,Madagascar,Sastisfactorio
206,Bittersweet Origins,Sambirano,233,2008,0.71,U.S.A.,3,Trinitario,Madagascar,Sastisfactorio
207,Bittersweet Origins,Bocas del Toro,233,2008,0.75,U.S.A.,3.5,,Panama,Sastisfactorio
208,Bittersweet Origins,Puerto Plata,233,2008,0.68,U.S.A.,3.75,,Dominican Republic,Sastisfactorio
209,Bittersweet Origins,Ankasa,256,2008,0.7,U.S.A.,3,Forastero,Ghana,Sastisfactorio
210,Black Mountain,La Red,256,2008,0.7,U.S.A.,2.75,,Dominican Republic,Decepcionante
211,Black Mountain,Carenero Superior,256,2008,0.7,U.S.A.,2.75,Trinitario,Venezuela,Decepcionante
212,Black Mountain,Matiguas,256,2008,0.7,U.S.A.,3,,Nicaragua,Sastisfactorio
213,Black River (A. Morin),Blue Mountain Region,1331,2014,0.7,U.K.,2.75,Trinitario,Jamaica,Decepcionante
214,Blanxart,"Congo, Grand Cru",1046,2013,0.82,Spain,3.5,Forastero,Congo,Sastisfactorio
215,Blanxart,Organic Dark,322,2009,0.72,Spain,2.75,,,Decepcionante
216,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,U.S.A.,3.5,Trinitario,Madagascar,Sastisfactorio
217,Blue Bandana,Lachua,1752,2016,0.75,U.S.A.,2.75,,Guatemala,Decepcionante
218,Blue Bandana,Kokoa Kamili,1752,2016,0.75,U.S.A.,3.5,,Tanzania,Sastisfactorio
219,Blue Bandana,Zorzal Reserva,1756,2016,0.75,U.S.A.,3,,Dominican Republic,Sastisfactorio
220,Blue Bandana,Guatemala,911,2012,0.7,U.S.A.,3.5,,Guatemala,Sastisfactorio
221,Blue Bandana,Madagascar,911,2012,0.7,U.S.A.,3.75,Trinitario,Madagascar,Sastisfactorio
222,Bonnat,Selva Maya,1912,2016,0.75,France,3.5,,Mexico,Sastisfactorio
223,Bonnat,Kaori,1339,2014,0.75,France,4,,Brazil,Premiun
224,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,0.75,France,3.25,,Dominican Republic,Sastisfactorio
225,Bonnat,Surfin,1418,2014,0.65,France,3.75,,"Venez,Africa,Brasil,Peru,Mex",Sastisfactorio
226,Bonnat,Maragnam,1038,2013,0.75,France,3.5,,Brazil,Sastisfactorio
227,Bonnat,Gabon,1042,2013,0.75,France,3.25,,Gabon,Sastisfactorio
228,Bonnat,Cuba,629,2011,0.75,France,3.5,Trinitario,Cuba,Sastisfactorio
229,Bonnat,"Cusco, Cacao Cusco",629,2011,0.75,France,3.5,,Peru,Sastisfactorio
230,Bonnat,Piura Blanco,629,2011,0.75,France,3.5,Forastero_Nacional,Peru,Sastisfactorio
231,Bonnat,Libanio,629,2011,0.75,France,3.75,,Brazil,Sastisfactorio
232,Bonnat,Haiti,629,2011,0.75,France,4,,Haiti,Premiun
233,Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4,Criollo,Madagascar,Premiun
234,Bonnat,Juliana,672,2011,0.75,France,3.5,,Brazil,Sastisfactorio
235,Bonnat,Jamaique,761,2011,0.75,France,3.25,Trinitario,Jamaica,Sastisfactorio
236,Bonnat,Ivory Coast,331,2009,0.75,France,3,,Ivory Coast,Sastisfactorio
237,Bonnat,"Porcelana, Apotequil",336,2009,0.75,France,2.75,Criollo,Peru,Decepcionante
238,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,France,3,Criollo,Mexico,Sastisfactorio
239,Bonnat,"Xoconusco, cacao Real",395,2009,0.75,France,3,Criollo,Mexico,Sastisfactorio
240,Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4,Criollo_Porcelana,Venezuela,Premiun
241,Bonnat,Equateur,123,2007,0.75,France,2.5,Forastero_Arriba,Ecuador,Decepcionante
242,Bonnat,Trinite,24,2006,0.75,France,3.75,Trinitario,Carribean,Sastisfactorio
243,Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,France,4,,Venezuela,Premiun
244,Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4,Criollo,Venezuela,Premiun
245,Bonnat,Madagascar,75,2006,0.75,France,4,Trinitario,Madagascar,Premiun
246,Bonnat,One Hundred,81,2006,1,France,1.5,,,Desagradable
247,Bonnat,Ceylan,81,2006,0.75,France,3,,Sri Lanka,Sastisfactorio
248,Bonnat,Chuao,81,2006,0.75,France,4,Trinitario,Venezuela,Premiun
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,0.77,Ecuador,3.25,Forastero_Arriba,Ecuador,Sastisfactorio
250,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,1,Ecuador,1.5,Forastero_Arriba,Ecuador,Desagradable
251,Bowler Man,Maya Mountain,1267,2014,0.7,U.S.A.,2.75,Trinitario,Belize,Decepcionante
252,Bowler Man,Conacado,1271,2014,0.7,U.S.A.,2.75,,Dominican Republic,Decepcionante
253,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.7,U.S.A.,3.5,Criollo,Venezuela,Sastisfactorio
254,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,0.7,U.S.A.,3.75,,Nicaragua,Sastisfactorio
255,Brasstown aka It's Chocolate,Conacado,1462,2015,0.68,U.S.A.,3.75,,Dominican Republic,Sastisfactorio
256,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,0.7,U.S.A.,3.75,Trinitario,Belize,Sastisfactorio
